absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
44,8,"['refugeeswelcome', 'travelban', 'refugee', 'immigrant', 'stopislamofobia', 'immigration', 'woman', 'migrantenkriminalitat', 'nation', 'constitution']",39,6,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'prouracisme']",8,"['travelban', 'refugeeswelcome', 'maga', 'refugee', 'muslimban', 'islam', 'trump', 'enter_country', 'pvv', 'country', 'tcot', 'stopislamofobia', 'bordersclose']",5,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'stopislamofobia_refugeeswelcome', 'prouracisme']","[2746361571, 2883994199, 4888083347, 805855366546329601]"
45,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",40,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[16012783, 118245138, 3380966237]"
46,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",41,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[171632862, 299097281, 797097069781667840]"
47,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",43,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[863001163, 870872898, 870876488, 870881976, 870882342, 870886394, 870886453, 870892134, 870903090, 870906686, 870907736, 896433678, 915468734, 915722492, 915807342, 915812143, 916004004, 916051280, 916342638, 916490078, 929528022, 951795330, 951798776, 953096516, 1092968340, 1094795100, 784263169996836900]"
48,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",44,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[234141596, 423587395, 2483809903]"
49,0,"['muslimban', 'muslim', 'country', 'islam', 'refugee']",45,2,"['muslimban', 'muslim', 'country', 'ban', 'trump', 'muslims', 'islam', 'america', 'terrorist', 'travel']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[80350908, 120995738, 962383824, 2155847459, 3082370998, 809457976817881088]"
50,11,"['nobannowall', 'muslimban', 'bigotry', 'noban', 'riseup', 'remember', 'immigration', 'immigrant', 'stand']",47,13,"['muslimban', 'trump', 'resist', 'trumprussia', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'break', 'trumps', 'april']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",10,"['muslimban', 'trump', 'trumprussia', 'resist', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'april_speech', 'break', 'trumps', 'todays_hashtag', 'april']","[18020589, 21906070, 341815160, 2194368678]"
52,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",50,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[16387036, 31127446, 2181188602, 4922951833]"
54,5,"['maga', 'travelban', 'trump', 'lgbt', 'islam', 'muslimban', 'tcot', 'marinelepen', 'judge', 'vote', 'read', 'france', 'americafirst']",54,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",8,"['travelban', 'refugeeswelcome', 'maga', 'refugee', 'muslimban', 'islam', 'trump', 'enter_country', 'pvv', 'country', 'tcot', 'stopislamofobia', 'bordersclose']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[475056290, 1453418317, 758497054419259393]"
55,13,"['muslimban', 'pvv', 'bordersclose', 'geertwilders', 'stempvv', 'nexit', 'attention', 'mega', 'bluehand', 'prevail', 'afd', 'stopislam', 'survive']",55,8,"['uslatino', 'tntweeter', 'uniteblue', 'niunomas', 'latism', 'inmigracion', 'humanright', 'fight', 'travelban', 'islamistheproblem', 'extremist', 'religion']",13,"['muslimban', 'muslim', 'country', 'ben_carson', 'islam']",2,"['travelban', 'maga', 'refugee', 'tcot', 'muslimban', 'islam', 'americafirst']","[1027972254, 2980186012, 812528552188854273, 845488340686139392, 845488340686139400]"
