absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
93,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",93,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[250449227, 3304338706, 3352466116, 3408045383, 3408741905]"
94,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",95,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[22993014, 183036128, 259506084]"
95,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",96,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[2174509045, 757965470460882945, 788392607692890100]"
96,11,"['nobannowall', 'muslimban', 'nomuslimban', 'immigrants', 'leftist', 'muslim', 'litigation', 'purge', 'immigration', 'heretostay']",97,0,"['nobannowall', 'theresistance', 'muslimban', 'trump', 'sign', 'pausethispresident', 'refugeeban', 'syria', 'refugee', 'petition', 'unjust', 'sad', 'ass', 'aca']",13,"['nobannowall', 'theresistance', 'resist', 'riseup', 'neveragain_riseup', 'neveragain', 'nodapl_riseup', 'ban', 'muslim']",9,"['muslimban', 'nobannowall', 'immigration', 'tntweeter_uslatino']","[812361923304034300, 812361923304034304, 815708250217840600]"
97,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",98,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[104891939, 158136902, 787961053535699000]"
98,6,"['ban', 'muslim', 'muslimban', 'trump', 'court', 'aclu']",99,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[88766270, 472426686, 743292565]"
99,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",100,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[78817006, 715329083802931200, 791783093145178112, 808342475228127232]"
100,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",101,3,"['muslimban', 'nobannowall', 'live', 'true']",9,"['ban', 'travel', 'trump', 'muslim']",0,"['travelban', 'refugeeswelcome', 'maga', 'trump', 'ban', 'refugee', 'noban', 'tcot', 'muslimban', 'islam', 'stopislamofobia', 'judge', 'muslim', 'humanright_fight']","[892071500, 4883035583, 745580638309318656]"
101,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",102,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",9,"['ban', 'travel', 'trump', 'muslim']",11,"['shut_newyorkweather', 'york_city', 'newyorkweather', 'hate_fear', 'york', 'city', 'east_coast', 'deadly_east', 'coast_snowstorm', 'outdoor']","[1636673089, 2453781038, 2483500938, 2798607668]"
102,7,"['refugeeswelcome', 'refugee', 'immigration', 'stopislamofobia', 'travelban', 'migrantenkriminalitat', 'immigrant', 'fightfear', 'prouracisme']",103,4,"['travelban', 'refugee', 'immigration', 'refugeeswelcome', 'immigrant', 'muslimban', 'nobannowallnoraid', 'great', 'resisttrump', 'mondaymotivation', 'nobannowall', 'woman', 'resist']",1,"['immigration', 'travelban', 'refugee', 'tntweeter_uslatino', 'immigration_inmigracion', 'nobannowall', 'nobannowallnoraid_noban', 'sign_petition', 'immigrant']",7,"['tcot_merkel', 'immigrantswelcome_refugee', 'national_security', 'immigrantswelcome', 'department_homeland']","[20702013, 1099960518, 750423143907487744]"
